flag; num; time_ms; gps_time_s; gps_time_us; lat; lon; alt; fix; crc
32;1;1222;0;0;0.000000;0.000000;0.000000;0;35672;
32;2;2213;4294963635;4294967295;nan;nan;nan;0;25833;
32;3;3199;4294963635;4294967295;nan;nan;nan;0;33277;
32;4;4164;4294963635;4294967295;nan;nan;nan;0;12507;
32;5;5148;4294963635;4294967295;nan;nan;nan;0;32903;
32;6;6132;4294963635;4294967295;nan;nan;nan;0;28018;
32;7;7116;4294963635;4294967295;nan;nan;nan;0;11663;
32;8;8116;4294963635;4294967295;nan;nan;nan;0;32319;
32;9;9101;4294963635;4294967295;nan;nan;nan;0;48003;
32;10;10088;4294963635;4294967295;nan;nan;nan;0;40408;
32;11;11076;4294963635;4294967295;nan;nan;nan;0;49168;
32;12;12060;4294963635;4294967295;nan;nan;nan;0;3864;
32;13;13041;4294963635;4294967295;nan;nan;nan;0;53508;
32;14;14012;4294963635;4294967295;nan;nan;nan;0;4885;
32;15;14993;4294963635;4294967295;nan;nan;nan;0;2921;
32;16;15989;4294963635;4294967295;nan;nan;nan;0;53359;
32;17;16974;4294963635;4294967295;nan;nan;nan;0;36822;
32;18;18065;4294963635;4294967295;nan;nan;nan;0;843;
32;19;19054;4294963635;4294967295;nan;nan;nan;0;15019;
32;20;20035;4294963635;4294967295;nan;nan;nan;0;62906;
32;21;21023;4294963635;4294967295;nan;nan;nan;0;43901;
32;22;22007;4294963635;4294967295;nan;nan;nan;0;39556;
32;23;23007;4294963635;4294967295;nan;nan;nan;0;49597;
32;24;23988;4294963635;4294967295;nan;nan;nan;0;18197;
32;25;24956;4294963635;4294967295;nan;nan;nan;0;23137;
32;26;25939;4294963635;4294967295;nan;nan;nan;0;19328;
32;27;26922;4294963635;4294967295;nan;nan;nan;0;8665;
32;28;27922;4294963635;4294967295;nan;nan;nan;0;46665;
32;29;28911;4294963635;4294967295;nan;nan;nan;0;29585;
32;30;29896;4294963635;4294967295;nan;nan;nan;0;28562;
32;31;30893;4294963635;4294967295;nan;nan;nan;0;5404;
32;32;31881;4294963635;4294967295;nan;nan;nan;0;62376;
32;33;32863;4294963635;4294967295;nan;nan;nan;0;18132;
32;34;33848;4294963635;4294967295;nan;nan;nan;0;13767;
32;35;34816;4294963635;4294967295;nan;nan;nan;0;30010;
32;36;35800;4294963635;4294967295;nan;nan;nan;0;57627;
32;37;36781;4294963635;4294967295;nan;nan;nan;0;10344;
32;38;37772;4294963635;4294967295;nan;nan;nan;0;20888;
32;39;38772;4294963635;4294967295;nan;nan;nan;0;2156;
32;40;39752;4294963635;4294967295;nan;nan;nan;0;39428;
