flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1192;-677;-1806;625;1531;93;-127;-493;-318;-2209;37800
48;2;1508;-655;-1507;900;94;32;-27;-420;-180;-2342;20492
48;3;1823;-685;-1570;1242;650;-327;360;-455;-134;-2360;55845
48;4;2049;-217;-1396;1336;229;-94;-329;-389;-80;-2427;64203
48;5;2395;-240;-1503;1618;30;98;-243;-352;-85;-2424;48425
48;6;2710;-361;-1366;1530;104;-159;-5;-327;-60;-2443;44273
48;7;2936;-321;-1426;1544;-163;22;-61;-329;-66;-2441;17044
48;8;3485;-155;-1513;1538;-235;-25;71;-313;-87;-2419;29698
48;9;3819;-67;-1483;1464;191;221;-340;-315;-123;-2404;14730
48;10;4134;-131;-1551;1630;194;271;-724;-287;-101;-2428;23408
48;11;4474;284;-1057;1762;100;171;-63;-300;-64;-2445;50803
48;12;4700;169;-1283;1749;126;-64;-438;-317;-57;-2435;28157
48;13;5015;-120;-1347;1741;394;16;-152;-319;0;-2448;6839
48;14;5471;-818;-744;1836;54;568;327;-487;165;-2386;23535
48;15;5785;-800;-852;1771;53;-118;-204;-635;203;-2353;19159
48;16;6101;-1435;-701;1467;-5;542;361;-673;255;-2251;36189
48;17;6440;-983;-433;1629;-51;-57;-444;-755;282;-2229;8871
48;18;6672;-687;-787;1588;22;-348;-838;-755;174;-2234;56073
48;19;6987;-918;-1250;1520;221;-292;-181;-688;66;-2231;43865
48;20;7427;-1776;-918;1120;-296;1047;2238;-734;221;-2059;24357
48;21;7762;-1135;1093;913;-610;237;1617;-702;894;-1963;35698
48;22;8092;-1067;1141;1206;146;-466;-509;-476;925;-2041;65527
48;23;8408;-1621;886;1175;137;-232;-445;-565;875;-1996;1952
48;24;8744;-1308;1116;1139;-261;45;132;-556;924;-2010;13535
48;25;8976;-1222;1061;1250;-243;54;146;-513;921;-2062;42979
48;26;9296;-1027;1025;1289;234;-110;-176;-496;912;-2042;49864
48;27;9611;-2053;-709;1095;1558;-999;-5218;-732;382;-1931;2728
48;28;9857;-358;-917;1752;822;-797;-2655;-804;-131;-2127;8350
48;29;10383;-15;-1018;1857;-474;41;16;-398;-204;-2272;51753
48;30;10713;-81;-1416;1648;-221;-43;26;-374;-285;-2194;19140
48;31;10944;-45;-1211;1647;-54;-59;-107;-359;-293;-2195;62360
48;32;11260;327;-1377;1602;347;354;-286;-277;-309;-2211;41237
48;33;11700;60;-994;1833;-454;-222;73;-264;-305;-2225;5492
48;34;12039;564;-1346;1838;-121;-574;-86;-220;-346;-2195;37190
48;35;12355;440;-1534;1453;-80;-314;-22;-192;-382;-2168;35820
48;36;12581;417;-1322;1346;33;-425;-264;-150;-387;-2144;62379
48;37;12899;1029;-1601;1480;44;392;58;-68;-416;-2135;36204
48;38;13356;462;-1374;1800;166;-28;525;-90;-398;-2167;53887
48;39;13670;-34;-999;1385;842;301;306;-230;-271;-2298;33052
48;40;13985;-6;-1104;2014;242;165;144;-292;-190;-2368;52291
48;41;14342;-536;-324;2115;464;328;-559;-322;-83;-2440;34837
48;42;14661;-75;-335;1984;139;188;-519;-330;-44;-2464;40592
