flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1195;-1588;-471;986;-540;-642;-1660;-756;-216;-2105;1783
48;2;1511;-1474;-1935;1022;-511;-184;-1925;-487;-501;-1980;48249
48;3;1826;-421;-1949;805;271;-221;-1;-87;-538;-1916;13841
48;4;2052;-306;-1642;992;-4;-80;-60;-9;-511;-2005;33214
48;5;2398;-176;-1951;1027;39;63;-19;56;-463;-2061;24588
48;6;2714;85;-1534;1378;365;165;-331;124;-321;-2229;12993
48;7;2940;-102;-969;1812;908;616;-722;154;-95;-2400;31001
48;8;3491;12;-117;1854;399;200;-526;86;348;-2501;30440
48;9;3825;-286;-134;2252;266;300;-970;9;452;-2476;36422
48;10;4140;-213;-330;2153;-76;-55;-211;-149;466;-2465;9188
48;11;4476;-52;-24;2176;-47;75;-73;-117;493;-2460;57784
48;12;4706;-36;-11;2153;-2;-82;626;-108;488;-2460;30094
48;13;5021;-39;-33;2096;-17;-67;-15;-92;493;-2455;3702
48;14;5477;-31;-47;2123;30;9;3;-95;499;-2455;15826
48;15;5792;-60;-32;2135;5;-40;-6;-96;490;-2470;44306
48;16;6106;-24;-72;2115;-17;-62;-11;-97;493;-2456;24335
48;17;6442;-3;-95;2109;14;-35;-6;-94;472;-2455;16873
48;18;6675;-4;-76;2126;-2;-47;-7;-94;485;-2456;2785
48;19;6990;-4;-78;2114;24;-41;-10;-95;486;-2453;49953
48;20;7429;-65;-93;2102;-8;-35;-5;-95;494;-2460;44348
48;21;7765;-33;-105;2115;0;-36;-8;-97;483;-2459;4045
48;22;8095;-15;-65;2118;19;-27;-7;-89;470;-2466;10855
48;23;8411;-30;-67;2122;12;-27;-7;-90;482;-2455;38364
48;24;8747;-40;-79;2109;0;-39;-8;-94;492;-2455;37742
48;25;8979;-29;-121;2469;20;-39;-3;-93;485;-2441;28763
48;26;9294;-59;-88;2116;9;-25;-7;-89;480;-2458;64060
48;27;9614;-39;-71;2114;9;-47;-11;-99;486;-2452;43575
48;28;9862;-31;-60;2117;14;-39;-7;-104;478;-2459;19118
48;29;10386;-55;-88;2113;-9;-31;-5;-93;486;-2452;52985
48;30;10717;-51;-104;2114;3;-37;-7;-92;485;-2461;44881
48;31;10948;-32;-74;2114;13;-40;-7;-103;478;-2453;37009
48;32;11264;-5;-47;2121;9;-34;-8;-92;491;-2445;60452
48;33;11704;-23;-61;2117;14;-41;-11;-100;483;-2449;53295
48;34;12039;-41;-88;2113;8;-32;-5;-96;483;-2454;55101
48;35;12355;-34;-82;2116;15;-38;-10;-94;487;-2470;48750
48;36;12581;-35;-84;2114;12;-35;-9;-94;485;-2463;3162
48;37;12903;-30;-70;2116;12;-32;-7;-92;488;-2465;40072
48;38;13359;-23;-71;2117;14;-36;-6;-100;489;-2451;17348
48;39;13674;-38;-78;2116;10;-34;-7;-99;489;-2461;18061
48;40;13989;-36;-80;2117;11;-37;-7;-92;488;-2458;12549
48;41;14347;-33;-75;2119;10;-33;-7;-92;476;-2459;9249
48;42;14662;-34;-71;2113;14;-36;-6;-103;489;-2463;51834
48;43;14976;-28;-68;2116;9;-36;-8;-94;485;-2448;15601
48;44;15332;-38;-78;2113;11;-37;-9;-94;472;-2467;29678
48;45;15647;-20;-59;2131;17;-40;-10;-89;487;-2449;31443
48;46;16191;-33;-76;2115;11;-32;-7;-89;482;-2471;30071
48;47;16423;-29;-72;2118;11;-34;-8;-89;478;-2471;24187
48;48;16742;-41;-83;2113;6;-35;-8;-86;482;-2450;51021
48;49;16968;-41;-77;2117;10;-28;-7;-99;478;-2471;6197
48;50;17287;-46;-94;2112;3;-32;-9;-98;480;-2465;30963
48;51;17624;-22;-68;2116;8;-34;-9;-101;488;-2470;11095
48;52;17850;-19;-68;2117;8;-39;-9;-113;480;-2467;35024
48;53;18270;-51;-82;2109;7;-28;-5;-108;483;-2460;29038
48;54;18621;-28;-70;2112;11;-35;-6;-88;480;-2460;29039
48;55;18940;-38;-85;2112;12;-35;-8;-99;477;-2456;60927
48;56;19259;-32;-67;2116;14;-36;-7;-100;485;-2465;17160
48;57;19590;-29;-71;2112;7;-33;-5;-96;477;-2463;29857
48;58;19821;-34;-78;2118;7;-36;-8;-101;482;-2459;45274
48;59;20241;-36;-77;2114;11;-37;-6;-98;480;-2463;34056
48;60;20467;-37;-76;2117;10;-35;-7;-94;495;-2451;15308
48;61;20803;-2;-42;2126;13;-32;-7;-102;487;-2453;50664
48;62;21118;-30;-72;2115;7;-31;-8;-96;488;-2458;2677
48;63;21348;-41;-93;2115;5;-30;-7;-107;483;-2476;60466
48;64;21663;-39;-88;2115;14;-35;-6;-102;482;-2471;43317
48;65;22230;-32;-71;2115;4;-29;-7;-104;477;-2463;61609
48;66;22545;-39;-86;2108;6;-33;-6;-96;478;-2457;30039
48;67;22860;-33;-79;2115;12;-35;-6;-96;482;-2464;25548
48;68;23211;-36;-83;2115;11;-32;-9;-101;484;-2446;64435
48;69;23526;-31;-66;2111;10;-36;-11;-101;481;-2454;62296
48;70;23857;-29;-76;2112;7;-36;-8;-93;482;-2464;60026
48;71;24195;-31;-73;2115;13;-34;-6;-94;488;-2470;6938
48;72;24514;-39;-84;2116;6;-32;-6;-99;486;-2471;36875
48;73;24844;-29;-75;2115;12;-35;-6;-92;487;-2466;9965
48;74;25186;-36;-81;2114;8;-33;-10;-91;479;-2469;21245
48;75;25501;-37;-78;2119;10;-36;-8;-96;471;-2455;42959
48;76;25731;-36;-79;2116;12;-33;-6;-101;471;-2457;56095
48;77;26150;-30;-83;2115;8;-36;-9;-99;477;-2470;1404
48;78;26382;-31;-80;2117;10;-36;-9;-96;482;-2460;5461
48;79;26608;-35;-76;2117;9;-35;-9;-92;490;-2458;45504
48;80;27032;-33;-79;2115;10;-35;-8;-96;478;-2458;49601
48;81;27488;-37;-82;2117;11;-34;-7;-104;487;-2462;52901
48;82;27803;-31;-74;2119;10;-35;-7;-103;494;-2466;18459
48;83;28122;-29;-74;2114;11;-35;-6;-86;480;-2457;21456
48;84;28347;-32;-77;2115;10;-34;-7;-92;485;-2472;27306
48;85;28579;-30;-73;2116;10;-35;-7;-103;491;-2471;10822
48;86;28999;-30;-74;2113;10;-35;-8;-102;481;-2451;19076
48;87;29225;-33;-77;2116;10;-33;-5;-95;489;-2456;22037
48;88;29565;-35;-79;2115;8;-36;-9;-106;484;-2457;51525
48;89;30106;-34;-78;2120;10;-35;-9;-99;486;-2468;9862
48;90;30421;-26;-63;2118;13;-34;-6;-91;487;-2476;44643
