flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1329;-145;2055;-623;67;166;73;33;1009;-1226;6007
48;2;1644;-161;2159;-521;-260;118;126;45;1010;-1289;6678
48;3;2079;-260;1880;-270;-20;6;121;78;1018;-1290;17188
48;4;2424;-115;2220;-250;-529;-35;-286;100;1070;-1553;1622
48;5;2739;-174;2168;375;-37;-276;86;78;1060;-1685;13282
48;6;2965;-9;1962;458;641;-194;277;85;1059;-1638;38366
48;7;3408;156;2025;-209;389;-171;69;107;1047;-1373;22722
48;8;3744;206;1973;-352;109;-308;-100;145;1005;-1298;23841
48;9;4062;-231;2056;-424;-145;-283;-155;65;1027;-1256;196
48;10;4400;-267;2034;-386;-7;-28;-113;27;1048;-1279;56241
48;11;4626;-374;1979;-304;-234;27;114;-7;1044;-1310;50307
48;12;4945;-280;1944;-197;-129;-129;168;-35;1059;-1324;57940
48;13;5261;-270;1941;-258;39;-78;68;-7;1055;-1304;42456
48;14;5509;-304;1978;-165;39;-111;-92;-5;1049;-1312;15606
48;15;5824;-225;2247;-212;-355;-159;394;15;1049;-1342;6520
48;16;6371;116;1849;351;167;68;-525;98;1050;-1516;10848
48;17;6604;107;2300;415;180;-42;-278;89;1068;-1511;44204
48;18;6923;-128;1884;-197;527;-616;511;93;987;-1294;36977
48;19;7359;198;1953;-679;-23;-11;315;141;895;-1094;51328
48;20;7699;457;1775;-670;212;-113;13;186;877;-1113;42037
48;21;8014;697;1973;-653;934;93;640;181;860;-1117;43240
48;22;8345;374;1943;-391;-215;128;-101;292;834;-1142;30671
48;23;8664;549;2125;-666;-256;-128;-155;286;856;-1182;17563
48;24;8902;84;1587;-220;-291;-18;9;260;905;-1242;28166
48;25;9232;433;1901;-316;447;119;628;272;917;-1276;56706
48;26;9547;551;2110;-222;-353;157;-221;315;901;-1317;40865
48;27;10010;886;1981;121;-524;209;796;304;905;-1519;2339
48;28;10325;904;1541;513;-106;-195;-40;434;845;-1717;42543
48;29;10640;210;2142;478;470;596;-409;382;935;-1658;60153
48;30;10866;706;1961;279;724;-185;27;320;962;-1593;13074
48;31;11206;168;1967;-64;-248;197;110;205;1005;-1475;29145
48;32;11525;247;1949;72;-8;-116;378;185;1004;-1555;29382
48;33;11751;19;1726;-103;95;-226;263;222;1007;-1497;44699
48;34;12299;229;2184;-123;-1;-431;817;249;961;-1461;21874
48;35;12633;280;1969;-182;61;-98;-156;283;952;-1395;8221
48;36;12952;444;1799;66;-804;446;-89;313;930;-1571;52596
48;37;13293;110;2267;564;-272;97;-1243;286;998;-1700;54446
48;38;13519;-87;2264;263;941;-120;-611;194;1058;-1591;36207
48;39;13834;-36;2129;192;-352;-4;4;113;1056;-1530;27692
48;40;14296;-17;2079;41;377;-306;-526;131;1055;-1436;18593
48;41;14611;-456;2006;-161;357;-269;-437;-25;1051;-1337;22090
48;42;14926;-697;1829;-306;253;-71;-686;-115;1052;-1260;49221
48;43;15257;-958;1739;-397;-24;-140;120;-270;1026;-1222;10929
48;44;15493;-1134;1657;-460;106;-183;-176;-355;999;-1206;55212
48;45;15808;-1225;1655;-389;40;-137;-99;-398;994;-1208;57292
48;46;16243;-1194;1612;-305;-7;-106;80;-424;984;-1213;39945
48;47;16581;-1158;1636;-292;2;-48;117;-405;992;-1218;33212
48;48;16919;-1250;1837;-321;205;-26;-153;-413;978;-1188;3236
48;49;17234;-826;1915;-340;-299;-187;1510;-352;1011;-1177;5996
48;50;17572;-411;1940;-168;-666;239;1137;-130;991;-1240;35671
48;51;17799;185;1888;-217;-8;163;-158;96;962;-1301;1973
