flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1387;490;1874;833;102;8;-73;-144;1039;-1927;26787
48;2;1702;721;1963;725;-106;19;-383;-116;1032;-1944;28564
48;3;2137;597;1753;934;-141;-156;255;-141;1035;-1960;46392
48;4;2485;780;1755;948;5;-123;133;-88;1027;-1996;2758
48;5;2800;685;1694;1124;48;210;11;-85;1031;-1975;21072
48;6;3025;1003;1770;1241;-527;-191;-719;-77;984;-2027;44389
48;7;3470;1059;1205;1285;-695;-480;2211;86;837;-2164;35978
48;8;3805;1353;-520;830;-1536;-784;4449;556;129;-2060;48080
48;9;4123;-436;-1799;925;761;-611;-827;-133;-582;-1971;20889
48;10;4461;-51;-1845;1022;95;-87;-40;22;-551;-2052;62844
48;11;4691;-10;-1790;1004;-38;17;54;44;-531;-2047;3742
48;12;5007;11;-1892;1001;-54;-9;76;35;-551;-2033;21514
48;13;5322;-29;-1793;996;35;-44;-8;34;-560;-2034;55783
48;14;5571;-9;-1842;986;11;-47;-23;16;-553;-2030;27865
48;15;5886;-35;-1894;985;-6;3;59;15;-558;-2022;4777
48;16;6431;-32;-1838;999;-22;-20;30;14;-552;-2032;45615
48;17;6665;11;-1846;989;-21;-22;15;7;-561;-2026;47918
48;18;6984;-105;-1872;973;23;-59;-43;2;-566;-2018;8244
48;19;7424;-99;-1808;954;42;-39;-22;5;-559;-2016;34385
48;20;7763;-51;-1911;985;-17;5;25;-13;-568;-2006;6627
48;21;8078;-84;-1875;1027;-98;135;-20;6;-558;-2016;57705
48;22;8409;-50;-1586;882;320;-178;-177;34;-549;-2022;24029
48;23;8730;393;-2238;1391;-512;218;-793;13;-527;-2123;9863
48;24;8970;104;-1950;843;-439;1;-1178;-71;-598;-1993;17256
48;25;9305;421;-2015;594;-16;124;95;205;-583;-1827;20594
48;26;9624;406;-1876;367;54;374;521;257;-603;-1866;7241
48;27;10093;47;-1904;615;-252;348;268;168;-630;-1893;34910
48;28;10412;-132;-1966;583;-192;59;-18;118;-639;-1884;26524
48;29;10731;-135;-1980;422;-179;8;302;110;-657;-1807;10455
48;30;10959;-132;-2011;327;312;-172;316;81;-650;-1813;4237
48;31;11303;159;-2152;443;226;335;-270;78;-609;-1949;44016
48;32;11625;-63;-1682;648;109;1103;-450;120;-535;-2172;24926
48;33;11854;-131;-1808;724;-283;737;-360;150;-506;-2217;10173
48;34;12408;-213;-2235;473;-237;-527;378;97;-554;-2137;64998
48;35;12747;293;-1859;497;-107;8;-147;74;-547;-2094;44722
48;36;13069;-88;-1681;796;195;579;-239;149;-497;-2215;39381
48;37;13554;43;-1841;919;40;-144;9;99;-514;-2223;52017
48;38;13873;-1;-2639;499;-428;69;567;75;-521;-2199;46416
48;39;14506;-684;-2002;605;65;186;-9;-31;-583;-2112;46321
48;40;14825;-314;-1969;625;243;117;-492;-127;-552;-2178;27372
48;41;15372;-331;-2084;404;149;-568;889;7;-551;-2181;20334
48;42;15714;-154;-1708;583;49;-772;40;58;-582;-2111;37975
48;43;16032;-201;-1963;701;-47;-206;-74;63;-598;-2065;6151
48;44;16371;207;-2513;360;-103;-68;-494;83;-571;-2053;42476
48;45;16713;-16;-2209;824;101;-515;12;149;-553;-2016;37162
48;46;17269;102;-1788;675;164;-515;-50;149;-603;-1939;33575
48;47;17587;234;-2339;366;-716;607;-541;169;-600;-1921;59766
48;48;17823;13;-1742;433;-234;552;129;154;-618;-1927;6031
48;49;18051;-163;-1839;827;-9;-31;129;131;-616;-1950;54484
48;50;18370;-74;-2099;300;250;-480;-363;137;-614;-1924;62410
48;51;18689;179;-1711;678;61;-203;-375;147;-583;-1965;22425
48;52;18941;129;-1649;586;83;23;566;232;-587;-1879;1854
48;53;19269;212;-1950;751;288;-133;305;215;-587;-1930;8530
48;54;19591;-130;-1915;354;-218;-291;505;113;-636;-1887;22053
48;55;19819;86;-1965;551;-99;-187;-890;37;-620;-1873;51210
