flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1144;78;-2075;838;31;-250;94;159;-355;-2152;61684
48;2;1459;91;-1985;754;-143;-93;164;130;-393;-2132;48277
48;3;1774;91;-2026;732;-142;-115;101;135;-410;-2089;10408
48;4;2137;-219;-1835;781;169;-266;470;113;-444;-2087;32453
48;5;2453;-6;-1826;916;231;-87;-291;65;-406;-2145;58743
48;6;2768;-206;-1944;849;102;-64;-209;57;-397;-2153;58260
48;7;2994;78;-1935;891;668;-417;-427;103;-340;-2183;42379
48;8;3436;231;-1306;1614;322;-36;237;234;-95;-2372;26432
48;9;3773;-251;-1112;1837;-322;60;1503;111;-196;-2378;57224
48;10;4088;479;-1159;1728;2697;-1203;-7094;-12;176;-2419;17273
48;11;4428;12;1635;916;369;342;-1729;-236;1092;-1706;9399
48;12;4759;-795;2454;562;-276;-52;74;-509;1060;-1560;13227
48;13;5078;-314;2024;105;603;-583;-201;-543;1042;-1525;18409
48;14;5416;-594;1913;361;90;-45;-216;-566;1030;-1509;10839
48;15;5642;-489;2154;476;-122;-20;-8;-572;1024;-1503;25423
48;16;5958;-608;1876;392;112;-126;84;-606;1006;-1496;14872
48;17;6400;-595;1978;353;-19;-57;0;-605;1021;-1484;57963
48;18;6634;-636;1897;434;-57;-91;-25;-600;1016;-1519;50638
48;19;6950;-617;1872;442;-28;-116;137;-602;1019;-1523;34545
48;20;7388;-474;1626;656;-756;-605;364;-556;1056;-1719;8680
48;21;7726;1081;755;778;-2741;-2402;6446;-366;780;-2257;43946
48;22;8042;690;-2120;906;-972;40;590;474;-227;-2083;16558
48;23;8373;777;-1797;397;-496;610;694;397;-344;-1996;17921
48;24;8711;291;-1829;460;265;95;519;221;-429;-1967;33608
48;25;9258;-60;-2084;332;-220;28;-33;120;-516;-1874;21197
48;26;9577;-214;-2021;415;185;-96;129;95;-515;-1880;58137
48;27;9810;-678;-2061;370;297;-518;1286;63;-520;-1933;49389
48;28;10036;-854;-1796;544;-202;136;186;-164;-529;-1905;41005
48;29;10352;-565;-1775;440;-100;-200;-353;-180;-527;-1879;4347
48;30;10667;-769;-1961;297;59;89;-11;-152;-549;-1818;16797
48;31;10918;-738;-1885;298;58;-28;46;-164;-540;-1841;3990
48;32;11234;-771;-1963;244;83;-27;-19;-172;-557;-1805;4231
48;33;11553;-791;-1942;201;9;0;-27;-172;-560;-1804;51
48;34;11779;-799;-1957;192;-28;-29;-50;-170;-564;-1812;62741
48;35;12226;-702;-1933;166;8;-3;4;-157;-562;-1787;58055
48;36;12661;-776;-1953;172;41;-59;-36;-168;-558;-1778;56901
48;37;12976;-780;-1939;178;42;-56;-27;-169;-553;-1769;29363
48;38;13319;-776;-1939;190;46;-75;-21;-160;-554;-1796;5630
48;39;13545;-707;-1945;206;62;-86;-41;-166;-561;-1804;17081
48;40;13860;-745;-1941;243;1;-17;4;-163;-549;-1807;15352
48;41;14321;-731;-1934;218;36;-40;-27;-166;-550;-1822;2622
48;42;14636;-699;-1953;227;34;-54;-25;-164;-550;-1813;17760
48;43;14955;-726;-1931;244;24;-45;-15;-156;-561;-1834;51304
48;44;15313;-663;-1949;258;25;-63;-67;-165;-537;-1835;41476
48;45;15628;-659;-1985;272;14;-44;-16;-137;-548;-1837;40663
48;46;15943;-679;-1965;267;9;-31;-22;-137;-550;-1831;39825
48;47;16274;-663;-1973;246;41;-57;-1;-138;-550;-1830;6661
48;48;16508;-729;-2020;230;-29;8;58;-129;-554;-1820;23840
48;49;16826;-675;-1976;243;36;-61;-23;-144;-557;-1822;37260
48;50;17158;-656;-1921;248;22;-6;22;-143;-548;-1838;64221
48;51;17605;-885;-1968;160;180;-164;46;-181;-543;-1857;11127
48;52;17939;-798;-1866;283;18;219;-117;-169;-537;-1892;11375
48;53;18255;-619;-2050;442;225;-74;100;-140;-542;-1904;23190
48;54;18595;-543;-1870;648;269;-47;149;-122;-492;-2046;6713
48;55;18821;-773;-1742;728;-118;-67;-96;-175;-467;-2060;31061
48;56;19241;-692;-1921;550;-71;-119;-47;-165;-515;-1948;12131
48;57;19575;-709;-1897;505;-23;-24;-38;-153;-516;-1944;26025
48;58;19809;-666;-1925;490;-7;-74;-52;-146;-512;-1919;63114
48;59;20229;-628;-1920;463;-40;-53;-14;-135;-529;-1921;33016
48;60;20563;-563;-1941;411;-58;25;18;-117;-536;-1900;23801
48;61;20901;-675;-1976;310;-159;31;993;-142;-531;-1864;41569
48;62;21217;-1488;-1522;182;-130;177;-204;-440;-469;-1810;53369
48;63;21442;-1105;-1713;218;187;-199;-391;-428;-513;-1837;11958
48;64;21762;-512;-1889;194;-47;66;-1826;-224;-535;-1847;25387
48;65;22104;18;-2115;356;15;-108;60;50;-495;-1895;38495
48;66;22330;-73;-2119;315;-19;-31;81;106;-506;-1875;23419
48;67;22645;-104;-2093;297;-93;-49;36;80;-512;-1880;11169
48;68;23209;-287;-2055;286;100;-175;143;37;-514;-1881;17054
48;69;23527;-327;-2177;362;-7;-114;188;16;-518;-1887;3341
48;70;23842;-336;-1933;302;-33;72;107;-3;-540;-1883;9163
48;71;24199;-378;-1977;250;69;-35;148;-28;-533;-1860;11473
48;72;24513;-391;-2016;211;66;-61;41;-30;-532;-1860;23580
48;73;24847;-387;-2052;256;44;-42;-28;-28;-542;-1836;64927
48;74;25187;-318;-2032;297;45;-140;-51;-14;-535;-1848;33279
48;75;25501;-370;-2052;295;25;-57;0;-2;-540;-1844;17742
48;76;25727;-336;-2070;279;67;-57;62;1;-538;-1855;58252
48;77;26047;-334;-2049;322;47;-88;31;14;-530;-1861;56662
48;78;26286;-327;-2027;319;34;-47;-15;21;-545;-1872;57838
48;79;26722;-312;-2034;357;4;-89;-34;9;-526;-1864;34913
48;80;27146;-326;-2033;334;24;-69;2;24;-522;-1857;15585
48;81;27499;-353;-2034;347;19;-44;-3;26;-534;-1865;30134
48;82;27814;-383;-1993;337;31;-45;-35;8;-528;-1882;49088
48;83;28130;-318;-1991;361;38;-92;-10;4;-547;-1880;48155
48;84;28483;-335;-2025;361;-43;-24;-55;11;-534;-1870;39000
48;85;28799;-332;-2069;354;6;-83;0;18;-531;-1850;64581
48;86;29115;-308;-2003;381;0;-26;-42;15;-539;-1867;61107
48;87;29344;-357;-2029;363;40;-86;-31;15;-540;-1870;60552
48;88;29682;-322;-2006;402;31;-66;23;8;-528;-1859;12513
48;89;30126;-326;-2053;378;18;-86;-3;4;-536;-1866;49646
48;90;30440;-301;-2029;386;47;-58;-65;23;-529;-1851;20808
