 time_ms; accl_x; accl_y; accl_z;;;;;;;;;time;acc_x;acc_y;acc_z;;;;;;
1514833;-85;91;2124;;-41,48;44,408;1036,512;;;;;1514,833;-0,04148;0,044408;1,036512;;;;;;1514833
1515166;-85;87;2123;;-41,48;42,456;1036,024;;;;;1515,166;-0,04148;0,042456;1,036024;;;;;;1515166
1515527;-87;88;2127;;-42,456;42,944;1037,976;;;;;1515,527;-0,042456;0,042944;1,037976;;;;;;1515527
1515846;-85;86;2129;;-41,48;41,968;1038,952;;;;;1515,846;-0,04148;0,041968;1,038952;;;;;;1515846
1516074;-85;90;2127;;-41,48;43,92;1037,976;;;;;1516,074;-0,04148;0,04392;1,037976;;;;;;1516074
1516498;-91;89;2120;;-44,408;43,432;1034,56;;;;;1516,498;-0,044408;0,043432;1,03456;;;;;;1516498
1516736;-87;88;2128;;-42,456;42,944;1038,464;;;;;1516,736;-0,042456;0,042944;1,038464;;;;;;1516736
1516964;-89;88;2125;;-43,432;42,944;1037;;;;;1516,964;-0,043432;0,042944;1,037;;;;;;1516964
1517389;-91;87;2121;;-44,408;42,456;1035,048;;;;;1517,389;-0,044408;0,042456;1,035048;;;;;;1517389
1517852;-88;89;2124;;-42,944;43,432;1036,512;;;;;1517,852;-0,042944;0,043432;1,036512;;;;;;1517852
1518072;-87;90;2122;;-42,456;43,92;1035,536;;;;;1518,072;-0,042456;0,04392;1,035536;;;;;;1518072
1518501;-89;89;2126;;-43,432;43,432;1037,488;;;;;1518,501;-0,043432;0,043432;1,037488;;;;;;1518501
1518729;-88;88;2124;;-42,944;42,944;1036,512;;;;;1518,729;-0,042944;0,042944;1,036512;;;;;;1518729
1518965;-88;90;2123;;-42,944;43,92;1036,024;;;;;1518,965;-0,042944;0,04392;1,036024;;;;;;1518965
1519389;-90;86;2122;;-43,92;41,968;1035,536;;;;;1519,389;-0,04392;0,041968;1,035536;;;;;;1519389
1519621;-85;91;2122;;-41,48;44,408;1035,536;;;;;1519,621;-0,04148;0,044408;1,035536;;;;;;1519621
1519963;-82;87;2125;;-40,016;42,456;1037;;;;;1519,963;-0,040016;0,042456;1,037;;;;;;1519963
1520509;-93;84;2124;;-45,384;40,992;1036,512;;;;;1520,509;-0,045384;0,040992;1,036512;;;;;;1520509
1520831;-89;84;2125;;-43,432;40,992;1037;;;;;1520,831;-0,043432;0,040992;1,037;;;;;;1520831
1521172;-89;88;2123;;-43,432;42,944;1036,024;;;;;1521,172;-0,043432;0,042944;1,036024;;;;;;1521172
1521507;-84;83;2124;;-40,992;40,504;1036,512;;;;;1521,507;-0,040992;0,040504;1,036512;;;;;;1521507
1521829;-87;87;2121;;-42,456;42,456;1035,048;;;;;1521,829;-0,042456;0,042456;1,035048;;;;;;1521829
1522186;-87;88;2123;;-42,456;42,944;1036,024;;;;;1522,186;-0,042456;0,042944;1,036024;;;;;;1522186
1522509;-89;88;2126;;-43,432;42,944;1037,488;;;;;1522,509;-0,043432;0,042944;1,037488;;;;;;1522509
1522827;-88;87;2125;;-42,944;42,456;1037;;;;;1522,827;-0,042944;0,042456;1,037;;;;;;1522827
1523161;-85;87;2121;;-41,48;42,456;1035,048;;;;;1523,161;-0,04148;0,042456;1,035048;;;;;;1523161
1523507;-89;86;2124;;-43,432;41,968;1036,512;;;;;1523,507;-0,043432;0,041968;1,036512;;;;;;1523507
1523825;-87;90;2126;;-42,456;43,92;1037,488;;;;;1523,825;-0,042456;0,04392;1,037488;;;;;;1523825
1524053;-84;89;2124;;-40,992;43,432;1036,512;;;;;1524,053;-0,040992;0,043432;1,036512;;;;;;1524053
1524504;-86;87;2124;;-41,968;42,456;1036,512;;;;;1524,504;-0,041968;0,042456;1,036512;;;;;;1524504
1524837;-90;86;2122;;-43,92;41,968;1035,536;;;;;1524,837;-0,04392;0,041968;1,035536;;;;;;1524837
1525155;-89;88;2122;;-43,432;42,944;1035,536;;;;;1525,155;-0,043432;0,042944;1,035536;;;;;;1525155
1525502;-89;91;2125;;-43,432;44,408;1037;;;;;1525,502;-0,043432;0,044408;1,037;;;;;;1525502
1525734;-91;89;2127;;-44,408;43,432;1037,976;;;;;1525,734;-0,044408;0,043432;1,037976;;;;;;1525734
1526057;-87;90;2125;;-42,456;43,92;1037;;;;;1526,057;-0,042456;0,04392;1,037;;;;;;1526057
1526376;-85;87;2125;;-41,48;42,456;1037;;;;;1526,376;-0,04148;0,042456;1,037;;;;;;1526376
1526627;-90;90;2124;;-43,92;43,92;1036,512;;;;;1526,627;-0,04392;0,04392;1,036512;;;;;;1526627
1526945;-91;86;2125;;-44,408;41,968;1037;;;;;1526,945;-0,044408;0,041968;1,037;;;;;;1526945
1527492;-90;91;2123;;-43,92;44,408;1036,024;;;;;1527,492;-0,04392;0,044408;1,036024;;;;;;1527492
1527727;-86;90;2125;;-41,968;43,92;1037;;;;;1527,727;-0,041968;0,04392;1,037;;;;;;1527727
1528045;-91;90;2122;;-44,408;43,92;1035,536;;;;;1528,045;-0,044408;0,04392;1,035536;;;;;;1528045
1528494;-91;89;2125;;-44,408;43,432;1037;;;;;1528,494;-0,044408;0,043432;1,037;;;;;;1528494
1528835;-86;85;2123;;-41,968;41,48;1036,024;;;;;1528,835;-0,041968;0,04148;1,036024;;;;;;1528835
1529157;-89;88;2124;;-43,432;42,944;1036,512;;;;;1529,157;-0,043432;0,042944;1,036512;;;;;;1529157
1529496;-87;85;2125;;-42,456;41,48;1037;;;;;1529,496;-0,042456;0,04148;1,037;;;;;;1529496
1529815;-87;89;2122;;-42,456;43,432;1035,536;;;;;1529,815;-0,042456;0,043432;1,035536;;;;;;1529815
1530050;-83;86;2123;;-40,504;41,968;1036,024;;;;;1530,05;-0,040504;0,041968;1,036024;;;;;;1530050
1530385;-89;90;2123;;-43,432;43,92;1036,024;;;;;1530,385;-0,043432;0,04392;1,036024;;;;;;1530385
1530703;-90;86;2123;;-43,92;41,968;1036,024;;;;;1530,703;-0,04392;0,041968;1,036024;;;;;;1530703
1531166;-89;87;2123;;-43,432;42,456;1036,024;;;;;1531,166;-0,043432;0,042456;1,036024;;;;;;1531166
1531492;-93;89;2124;;-45,384;43,432;1036,512;;;;;1531,492;-0,045384;0,043432;1,036512;;;;;;1531492
1531810;-89;85;2123;;-43,432;41,48;1036,024;;;;;1531,81;-0,043432;0,04148;1,036024;;;;;;1531810
1532038;-88;86;2126;;-42,944;41,968;1037,488;;;;;1532,038;-0,042944;0,041968;1,037488;;;;;;1532038
1532380;-92;90;2122;;-44,896;43,92;1035,536;;;;;1532,38;-0,044896;0,04392;1,035536;;;;;;1532380
1532703;-91;89;2126;;-44,408;43,432;1037,488;;;;;1532,703;-0,044408;0,043432;1,037488;;;;;;1532703
1532931;-89;89;2122;;-43,432;43,432;1035,536;;;;;1532,931;-0,043432;0,043432;1,035536;;;;;;1532931
1533486;-90;87;2122;;-43,92;42,456;1035,536;;;;;1533,486;-0,04392;0,042456;1,035536;;;;;;1533486
1533824;-89;85;2122;;-43,432;41,48;1035,536;;;;;1533,824;-0,043432;0,04148;1,035536;;;;;;1533824
1534141;-90;91;2126;;-43,92;44,408;1037,488;;;;;1534,141;-0,04392;0,044408;1,037488;;;;;;1534141
1534487;-90;90;2122;;-43,92;43,92;1035,536;;;;;1534,487;-0,04392;0,04392;1,035536;;;;;;1534487
1534715;-86;87;2124;;-41,968;42,456;1036,512;;;;;1534,715;-0,041968;0,042456;1,036512;;;;;;1534715
1535034;-88;87;2125;;-42,944;42,456;1037;;;;;1535,034;-0,042944;0,042456;1,037;;;;;;1535034
1535500;-88;87;2125;;-42,944;42,456;1037;;;;;1535,5;-0,042944;0,042456;1,037;;;;;;1535500
1535818;-87;87;2123;;-42,456;42,456;1036,024;;;;;1535,818;-0,042456;0,042456;1,036024;;;;;;1535818
1536137;-86;90;2124;;-41,968;43,92;1036,512;;;;;1536,137;-0,041968;0,04392;1,036512;;;;;;1536137
1536475;-86;88;2126;;-41,968;42,944;1037,488;;;;;1536,475;-0,041968;0,042944;1,037488;;;;;;1536475
1536715;-88;89;2118;;-42,944;43,432;1033,584;;;;;1536,715;-0,042944;0,043432;1,033584;;;;;;1536715
1537032;-90;85;2123;;-43,92;41,48;1036,024;;;;;1537,032;-0,04392;0,04148;1,036024;;;;;;1537032
1537477;-89;91;2122;;-43,432;44,408;1035,536;;;;;1537,477;-0,043432;0,044408;1,035536;;;;;;1537477
1537817;-86;91;2123;;-41,968;44,408;1036,024;;;;;1537,817;-0,041968;0,044408;1,036024;;;;;;1537817
1538150;-92;87;2124;;-44,896;42,456;1036,512;;;;;1538,15;-0,044896;0,042456;1,036512;;;;;;1538150
1538470;-89;89;2126;;-43,432;43,432;1037,488;;;;;1538,47;-0,043432;0,043432;1,037488;;;;;;1538470
1538811;-90;88;2129;;-43,92;42,944;1038,952;;;;;1538,811;-0,04392;0,042944;1,038952;;;;;;1538811
1539039;-89;85;2125;;-43,432;41,48;1037;;;;;1539,039;-0,043432;0,04148;1,037;;;;;;1539039
1539362;-89;89;2124;;-43,432;43,432;1036,512;;;;;1539,362;-0,043432;0,043432;1,036512;;;;;;1539362
1539681;-88;91;2125;;-42,944;44,408;1037;;;;;1539,681;-0,042944;0,044408;1,037;;;;;;1539681
1539931;-89;87;2126;;-43,432;42,456;1037,488;;;;;1539,931;-0,043432;0,042456;1,037488;;;;;;1539931
1540475;-91;88;2123;;-44,408;42,944;1036,024;;;;;1540,475;-0,044408;0,042944;1,036024;;;;;;1540475
1540809;-91;85;2125;;-44,408;41,48;1037;;;;;1540,809;-0,044408;0,04148;1,037;;;;;;1540809
1541045;-85;91;2124;;-41,48;44,408;1036,512;;;;;1541,045;-0,04148;0,044408;1,036512;;;;;;1541045
1541469;-92;87;2124;;-44,896;42,456;1036,512;;;;;1541,469;-0,044896;0,042456;1,036512;;;;;;1541469
1541807;-90;89;2126;;-43,92;43,432;1037,488;;;;;1541,807;-0,04392;0,043432;1,037488;;;;;;1541807
1542148;-89;88;2122;;-43,432;42,944;1035,536;;;;;1542,148;-0,043432;0,042944;1,035536;;;;;;1542148
1542467;-87;88;2120;;-42,456;42,944;1034,56;;;;;1542,467;-0,042456;0,042944;1,03456;;;;;;1542467
1542695;-89;90;2123;;-43,432;43,92;1036,024;;;;;1542,695;-0,043432;0,04392;1,036024;;;;;;1542695
1543013;-89;84;2122;;-43,432;40,992;1035,536;;;;;1543,013;-0,043432;0,040992;1,035536;;;;;;1543013
1543369;-89;88;2125;;-43,432;42,944;1037;;;;;1543,369;-0,043432;0,042944;1,037;;;;;;1543369
1543597;-88;87;2124;;-42,944;42,456;1036,512;;;;;1543,597;-0,042944;0,042456;1,036512;;;;;;1543597
1543915;-87;89;2124;;-42,456;43,432;1036,512;;;;;1543,915;-0,042456;0,043432;1,036512;;;;;;1543915
1544633;-92;86;2121;;-44,896;41,968;1035,048;;;;;1544,633;-0,044896;0,041968;1,035048;;;;;;1544633
1544951;-91;89;2124;;-44,408;43,432;1036,512;;;;;1544,951;-0,044408;0,043432;1,036512;;;;;;1544951
1545284;-92;87;2126;;-44,896;42,456;1037,488;;;;;1545,284;-0,044896;0,042456;1,037488;;;;;;1545284
1545627;-87;85;2128;;-42,456;41,48;1038,464;;;;;1545,627;-0,042456;0,04148;1,038464;;;;;;1545627
1545945;-91;88;2124;;-44,408;42,944;1036,512;;;;;1545,945;-0,044408;0,042944;1,036512;;;;;;1545945
