 time_ms; accl_x; accl_y; accl_z;;;;;;;;;time;acc_x;acc_y;acc_z;;;;;;
1731214;194;-1039;-1639;;94,672;-507,032;-799,832;;;;;1731,214;0,094672;-0,507032;-0,799832;;;;;;1731214
1731542;268;-1059;-1658;;130,784;-516,792;-809,104;;;;;1731,542;0,130784;-0,516792;-0,809104;;;;;;1731542
1731774;267;-1058;-1659;;130,296;-516,304;-809,592;;;;;1731,774;0,130296;-0,516304;-0,809592;;;;;;1731774
1732010;269;-1059;-1659;;131,272;-516,792;-809,592;;;;;1732,01;0,131272;-0,516792;-0,809592;;;;;;1732010
1732440;271;-1061;-1662;;132,248;-517,768;-811,056;;;;;1732,44;0,132248;-0,517768;-0,811056;;;;;;1732440
1732668;272;-1062;-1657;;132,736;-518,256;-808,616;;;;;1732,668;0,132736;-0,518256;-0,808616;;;;;;1732668
1733008;155;-1016;-1450;;75,64;-495,808;-707,6;;;;;1733,008;0,07564;-0,495808;-0,7076;;;;;;1733008
1733555;270;-1058;-1662;;131,76;-516,304;-811,056;;;;;1733,555;0,13176;-0,516304;-0,811056;;;;;;1733555
1733873;271;-1062;-1660;;132,248;-518,256;-810,08;;;;;1733,873;0,132248;-0,518256;-0,81008;;;;;;1733873
1734218;268;-1060;-1661;;130,784;-517,28;-810,568;;;;;1734,218;0,130784;-0,51728;-0,810568;;;;;;1734218
1734557;268;-1062;-1659;;130,784;-518,256;-809,592;;;;;1734,557;0,130784;-0,518256;-0,809592;;;;;;1734557
1734875;268;-1061;-1657;;130,784;-517,768;-808,616;;;;;1734,875;0,130784;-0,517768;-0,808616;;;;;;1734875
1735231;271;-1059;-1660;;132,248;-516,792;-810,08;;;;;1735,231;0,132248;-0,516792;-0,81008;;;;;;1735231
1735551;270;-1058;-1659;;131,76;-516,304;-809,592;;;;;1735,551;0,13176;-0,516304;-0,809592;;;;;;1735551
1735869;273;-1061;-1660;;133,224;-517,768;-810,08;;;;;1735,869;0,133224;-0,517768;-0,81008;;;;;;1735869
1736206;270;-1060;-1660;;131,76;-517,28;-810,08;;;;;1736,206;0,13176;-0,51728;-0,81008;;;;;;1736206
1736549;270;-1062;-1662;;131,76;-518,256;-811,056;;;;;1736,549;0,13176;-0,518256;-0,811056;;;;;;1736549
1736867;269;-1063;-1660;;131,272;-518,744;-810,08;;;;;1736,867;0,131272;-0,518744;-0,81008;;;;;;1736867
1737103;256;-1059;-1663;;124,928;-516,792;-811,544;;;;;1737,103;0,124928;-0,516792;-0,811544;;;;;;1737103
1737553;242;-1055;-1653;;118,096;-514,84;-806,664;;;;;1737,553;0,118096;-0,51484;-0,806664;;;;;;1737553
1737887;269;-1060;-1661;;131,272;-517,28;-810,568;;;;;1737,887;0,131272;-0,51728;-0,810568;;;;;;1737887
1738205;268;-1060;-1660;;130,784;-517,28;-810,08;;;;;1738,205;0,130784;-0,51728;-0,81008;;;;;;1738205
1738547;269;-1059;-1659;;131,272;-516,792;-809,592;;;;;1738,547;0,131272;-0,516792;-0,809592;;;;;;1738547
1738775;272;-1062;-1657;;132,736;-518,256;-808,616;;;;;1738,775;0,132736;-0,518256;-0,808616;;;;;;1738775
1739093;270;-1062;-1660;;131,76;-518,256;-810,08;;;;;1739,093;0,13176;-0,518256;-0,81008;;;;;;1739093
1739412;271;-1061;-1658;;132,248;-517,768;-809,104;;;;;1739,412;0,132248;-0,517768;-0,809104;;;;;;1739412
1739667;271;-1061;-1660;;132,248;-517,768;-810,08;;;;;1739,667;0,132248;-0,517768;-0,81008;;;;;;1739667
1739888;270;-1063;-1660;;131,76;-518,744;-810,08;;;;;1739,888;0,13176;-0,518744;-0,81008;;;;;;1739888
1740206;270;-1064;-1661;;131,76;-519,232;-810,568;;;;;1740,206;0,13176;-0,519232;-0,810568;;;;;;1740206
1740541;272;-1063;-1661;;132,736;-518,744;-810,568;;;;;1740,541;0,132736;-0,518744;-0,810568;;;;;;1740541
1740776;267;-1065;-1661;;130,296;-519,72;-810,568;;;;;1740,776;0,130296;-0,51972;-0,810568;;;;;;1740776
1741095;271;-1059;-1659;;132,248;-516,792;-809,592;;;;;1741,095;0,132248;-0,516792;-0,809592;;;;;;1741095
1741536;230;-1039;-1583;;112,24;-507,032;-772,504;;;;;1741,536;0,11224;-0,507032;-0,772504;;;;;;1741536
1741876;250;-1063;-1658;;122;-518,744;-809,104;;;;;1741,876;0,122;-0,518744;-0,809104;;;;;;1741876
1742199;267;-1061;-1659;;130,296;-517,768;-809,592;;;;;1742,199;0,130296;-0,517768;-0,809592;;;;;;1742199
1742542;267;-1060;-1660;;130,296;-517,28;-810,08;;;;;1742,542;0,130296;-0,51728;-0,81008;;;;;;1742542
1742859;273;-1061;-1657;;133,224;-517,768;-808,616;;;;;1742,859;0,133224;-0,517768;-0,808616;;;;;;1742859
1743095;267;-1060;-1658;;130,296;-517,28;-809,104;;;;;1743,095;0,130296;-0,51728;-0,809104;;;;;;1743095
1743434;77;-1045;-1663;;37,576;-509,96;-811,544;;;;;1743,434;0,037576;-0,50996;-0,811544;;;;;;1743434
1743752;248;-1058;-1646;;121,024;-516,304;-803,248;;;;;1743,752;0,121024;-0,516304;-0,803248;;;;;;1743752
1744214;272;-1063;-1659;;132,736;-518,744;-809,592;;;;;1744,214;0,132736;-0,518744;-0,809592;;;;;;1744214
1744534;273;-1063;-1660;;133,224;-518,744;-810,08;;;;;1744,534;0,133224;-0,518744;-0,81008;;;;;;1744534
1744856;273;-1065;-1656;;133,224;-519,72;-808,128;;;;;1744,856;0,133224;-0,51972;-0,808128;;;;;;1744856
1745084;275;-1061;-1660;;134,2;-517,768;-810,08;;;;;1745,084;0,1342;-0,517768;-0,81008;;;;;;1745084
1745429;268;-1064;-1662;;130,784;-519,232;-811,056;;;;;1745,429;0,130784;-0,519232;-0,811056;;;;;;1745429
1745748;271;-1061;-1661;;132,248;-517,768;-810,568;;;;;1745,748;0,132248;-0,517768;-0,810568;;;;;;1745748
1745976;268;-1065;-1659;;130,784;-519,72;-809,592;;;;;1745,976;0,130784;-0,51972;-0,809592;;;;;;1745976
1746534;271;-1063;-1659;;132,248;-518,744;-809,592;;;;;1746,534;0,132248;-0,518744;-0,809592;;;;;;1746534
1746872;273;-1066;-1660;;133,224;-520,208;-810,08;;;;;1746,872;0,133224;-0,520208;-0,81008;;;;;;1746872
1747190;269;-1063;-1657;;131,272;-518,744;-808,616;;;;;1747,19;0,131272;-0,518744;-0,808616;;;;;;1747190
1747535;267;-1065;-1658;;130,296;-519,72;-809,104;;;;;1747,535;0,130296;-0,51972;-0,809104;;;;;;1747535
1747763;134;-1014;-1518;;65,392;-494,832;-740,784;;;;;1747,763;0,065392;-0,494832;-0,740784;;;;;;1747763
1748081;-81;-1057;-1221;;-39,528;-515,816;-595,848;;;;;1748,081;-0,039528;-0,515816;-0,595848;;;;;;1748081
1748552;270;-1063;-1656;;131,76;-518,744;-808,128;;;;;1748,552;0,13176;-0,518744;-0,808128;;;;;;1748552
1748870;271;-1061;-1660;;132,248;-517,768;-810,08;;;;;1748,87;0,132248;-0,517768;-0,81008;;;;;;1748870
1749188;275;-1066;-1658;;134,2;-520,208;-809,104;;;;;1749,188;0,1342;-0,520208;-0,809104;;;;;;1749188
1749523;270;-1064;-1657;;131,76;-519,232;-808,616;;;;;1749,523;0,13176;-0,519232;-0,808616;;;;;;1749523
1749758;86;-1054;-1653;;41,968;-514,352;-806,664;;;;;1749,758;0,041968;-0,514352;-0,806664;;;;;;1749758
1750080;268;-1064;-1656;;130,784;-519,232;-808,128;;;;;1750,08;0,130784;-0,519232;-0,808128;;;;;;1750080
1750520;272;-1062;-1661;;132,736;-518,256;-810,568;;;;;1750,52;0,132736;-0,518256;-0,810568;;;;;;1750520
1750861;271;-1064;-1660;;132,248;-519,232;-810,08;;;;;1750,861;0,132248;-0,519232;-0,81008;;;;;;1750861
1751202;270;-1061;-1657;;131,76;-517,768;-808,616;;;;;1751,202;0,13176;-0,517768;-0,808616;;;;;;1751202
1751522;269;-1064;-1657;;131,272;-519,232;-808,616;;;;;1751,522;0,131272;-0,519232;-0,808616;;;;;;1751522
1751863;270;-1066;-1658;;131,76;-520,208;-809,104;;;;;1751,863;0,13176;-0,520208;-0,809104;;;;;;1751863
1752091;269;-1062;-1655;;131,272;-518,256;-807,64;;;;;1752,091;0,131272;-0,518256;-0,80764;;;;;;1752091
1752410;268;-1062;-1661;;130,784;-518,256;-810,568;;;;;1752,41;0,130784;-0,518256;-0,810568;;;;;;1752410
1752733;271;-1066;-1655;;132,248;-520,208;-807,64;;;;;1752,733;0,132248;-0,520208;-0,80764;;;;;;1752733
1752984;268;-1063;-1658;;130,784;-518,744;-809,104;;;;;1752,984;0,130784;-0,518744;-0,809104;;;;;;1752984
1753518;270;-1061;-1658;;131,76;-517,768;-809,104;;;;;1753,518;0,13176;-0,517768;-0,809104;;;;;;1753518
1753852;265;-1066;-1659;;129,32;-520,208;-809,592;;;;;1753,852;0,12932;-0,520208;-0,809592;;;;;;1753852
1754093;-153;-1036;-1103;;-74,664;-505,568;-538,264;;;;;1754,093;-0,074664;-0,505568;-0,538264;;;;;;1754093
1754412;246;-1066;-1653;;120,048;-520,208;-806,664;;;;;1754,412;0,120048;-0,520208;-0,806664;;;;;;1754412
1754856;270;-1061;-1657;;131,76;-517,768;-808,616;;;;;1754,856;0,13176;-0,517768;-0,808616;;;;;;1754856
1755197;270;-1066;-1660;;131,76;-520,208;-810,08;;;;;1755,197;0,13176;-0,520208;-0,81008;;;;;;1755197
1755520;268;-1065;-1657;;130,784;-519,72;-808,616;;;;;1755,52;0,130784;-0,51972;-0,808616;;;;;;1755520
1755748;270;-1065;-1660;;131,76;-519,72;-810,08;;;;;1755,748;0,13176;-0,51972;-0,81008;;;;;;1755748
1756067;155;-1054;-1658;;75,64;-514,352;-809,104;;;;;1756,067;0,07564;-0,514352;-0,809104;;;;;;1756067
1756529;270;-1062;-1658;;131,76;-518,256;-809,104;;;;;1756,529;0,13176;-0,518256;-0,809104;;;;;;1756529
1756851;269;-1064;-1661;;131,272;-519,232;-810,568;;;;;1756,851;0,131272;-0,519232;-0,810568;;;;;;1756851
1757170;269;-1064;-1658;;131,272;-519,232;-809,104;;;;;1757,17;0,131272;-0,519232;-0,809104;;;;;;1757170
1757527;272;-1065;-1658;;132,736;-519,72;-809,104;;;;;1757,527;0,132736;-0,51972;-0,809104;;;;;;1757527
1757845;270;-1063;-1660;;131,76;-518,744;-810,08;;;;;1757,845;0,13176;-0,518744;-0,81008;;;;;;1757845
1758167;169;-1059;-1652;;82,472;-516,792;-806,176;;;;;1758,167;0,082472;-0,516792;-0,806176;;;;;;1758167
1758527;265;-994;-1666;;129,32;-485,072;-813,008;;;;;1758,527;0,12932;-0,485072;-0,813008;;;;;;1758527
1758846;201;-1001;-1503;;98,088;-488,488;-733,464;;;;;1758,846;0,098088;-0,488488;-0,733464;;;;;;1758846
1759396;269;-1064;-1657;;131,272;-519,232;-808,616;;;;;1759,396;0,131272;-0,519232;-0,808616;;;;;;1759396
1759633;270;-1065;-1657;;131,76;-519,72;-808,616;;;;;1759,633;0,13176;-0,51972;-0,808616;;;;;;1759633
1759955;268;-1065;-1657;;130,784;-519,72;-808,616;;;;;1759,955;0,130784;-0,51972;-0,808616;;;;;;1759955
1760183;267;-1066;-1659;;130,296;-520,208;-809,592;;;;;1760,183;0,130296;-0,520208;-0,809592;;;;;;1760183
1760507;266;-1058;-1657;;129,808;-516,304;-808,616;;;;;1760,507;0,129808;-0,516304;-0,808616;;;;;;1760507
1760847;269;-1063;-1654;;131,272;-518,744;-807,152;;;;;1760,847;0,131272;-0,518744;-0,807152;;;;;;1760847
1761075;266;-1065;-1658;;129,808;-519,72;-809,104;;;;;1761,075;0,129808;-0,51972;-0,809104;;;;;;1761075
1761500;268;-1068;-1658;;130,784;-521,184;-809,104;;;;;1761,5;0,130784;-0,521184;-0,809104;;;;;;1761500
1761857;270;-1064;-1659;;131,76;-519,232;-809,592;;;;;1761,857;0,13176;-0,519232;-0,809592;;;;;;1761857
1762179;273;-1062;-1657;;133,224;-518,256;-808,616;;;;;1762,179;0,133224;-0,518256;-0,808616;;;;;;1762179
1762499;269;-1068;-1659;;131,272;-521,184;-809,592;;;;;1762,499;0,131272;-0,521184;-0,809592;;;;;;1762499
1762837;268;-1064;-1658;;130,784;-519,232;-809,104;;;;;1762,837;0,130784;-0,519232;-0,809104;;;;;;1762837
1763072;270;-1066;-1659;;131,76;-520,208;-809,592;;;;;1763,072;0,13176;-0,520208;-0,809592;;;;;;1763072
1763500;269;-1065;-1660;;131,272;-519,72;-810,08;;;;;1763,5;0,131272;-0,51972;-0,81008;;;;;;1763500
1763728;265;-1067;-1657;;129,32;-520,696;-808,616;;;;;1763,728;0,12932;-0,520696;-0,808616;;;;;;1763728
1764070;267;-1063;-1659;;130,296;-518,744;-809,592;;;;;1764,07;0,130296;-0,518744;-0,809592;;;;;;1764070
1764393;269;-1064;-1658;;131,272;-519,232;-809,104;;;;;1764,393;0,131272;-0,519232;-0,809104;;;;;;1764393
1764621;154;-991;-1492;;75,152;-483,608;-728,096;;;;;1764,621;0,075152;-0,483608;-0,728096;;;;;;1764621
1764939;-38;-1056;-1313;;-18,544;-515,328;-640,744;;;;;1764,939;-0,018544;-0,515328;-0,640744;;;;;;1764939
1765512;266;-1064;-1659;;129,808;-519,232;-809,592;;;;;1765,512;0,129808;-0,519232;-0,809592;;;;;;1765512
1765834;265;-1062;-1657;;129,32;-518,256;-808,616;;;;;1765,834;0,12932;-0,518256;-0,808616;;;;;;1765834
1766156;266;-1064;-1659;;129,808;-519,232;-809,592;;;;;1766,156;0,129808;-0,519232;-0,809592;;;;;;1766156
1766514;269;-1065;-1657;;131,272;-519,72;-808,616;;;;;1766,514;0,131272;-0,51972;-0,808616;;;;;;1766514
1766832;264;-1065;-1657;;128,832;-519,72;-808,616;;;;;1766,832;0,128832;-0,51972;-0,808616;;;;;;1766832
1767165;267;-1063;-1661;;130,296;-518,744;-810,568;;;;;1767,165;0,130296;-0,518744;-0,810568;;;;;;1767165
1767508;268;-1066;-1659;;130,784;-520,208;-809,592;;;;;1767,508;0,130784;-0,520208;-0,809592;;;;;;1767508
1767826;268;-1064;-1659;;130,784;-519,232;-809,592;;;;;1767,826;0,130784;-0,519232;-0,809592;;;;;;1767826
1768159;269;-1063;-1659;;131,272;-518,744;-809,592;;;;;1768,159;0,131272;-0,518744;-0,809592;;;;;;1768159
1768509;266;-1066;-1662;;129,808;-520,208;-811,056;;;;;1768,509;0,129808;-0,520208;-0,811056;;;;;;1768509
1768828;267;-1067;-1656;;130,296;-520,696;-808,128;;;;;1768,828;0,130296;-0,520696;-0,808128;;;;;;1768828
1769056;266;-1066;-1658;;129,808;-520,208;-809,104;;;;;1769,056;0,129808;-0,520208;-0,809104;;;;;;1769056
1769480;271;-1069;-1659;;132,248;-521,672;-809,592;;;;;1769,48;0,132248;-0,521672;-0,809592;;;;;;1769480
1769716;268;-1066;-1660;;130,784;-520,208;-810,08;;;;;1769,716;0,130784;-0,520208;-0,81008;;;;;;1769716
1769948;269;-1064;-1655;;131,272;-519,232;-807,64;;;;;1769,948;0,131272;-0,519232;-0,80764;;;;;;1769948
1770377;271;-1065;-1655;;132,248;-519,72;-807,64;;;;;1770,377;0,132248;-0,51972;-0,80764;;;;;;1770377
1770839;268;-1061;-1656;;130,784;-517,768;-808,128;;;;;1770,839;0,130784;-0,517768;-0,808128;;;;;;1770839
1771161;266;-1045;-1654;;129,808;-509,96;-807,152;;;;;1771,161;0,129808;-0,50996;-0,807152;;;;;;1771161
1771484;267;-1067;-1658;;130,296;-520,696;-809,104;;;;;1771,484;0,130296;-0,520696;-0,809104;;;;;;1771484
1771712;267;-1062;-1657;;130,296;-518,256;-808,616;;;;;1771,712;0,130296;-0,518256;-0,808616;;;;;;1771712
1771948;266;-1068;-1663;;129,808;-521,184;-811,544;;;;;1771,948;0,129808;-0,521184;-0,811544;;;;;;1771948
1772373;270;-1066;-1661;;131,76;-520,208;-810,568;;;;;1772,373;0,13176;-0,520208;-0,810568;;;;;;1772373
1772601;266;-1067;-1662;;129,808;-520,696;-811,056;;;;;1772,601;0,129808;-0,520696;-0,811056;;;;;;1772601
1772942;262;-1055;-1652;;127,856;-514,84;-806,176;;;;;1772,942;0,127856;-0,51484;-0,806176;;;;;;1772942
1773493;269;-1066;-1656;;131,272;-520,208;-808,128;;;;;1773,493;0,131272;-0,520208;-0,808128;;;;;;1773493
1773815;267;-1066;-1658;;130,296;-520,208;-809,104;;;;;1773,815;0,130296;-0,520208;-0,809104;;;;;;1773815
1774054;269;-1066;-1659;;131,272;-520,208;-809,592;;;;;1774,054;0,131272;-0,520208;-0,809592;;;;;;1774054
1774495;268;-1066;-1661;;130,784;-520,208;-810,568;;;;;1774,495;0,130784;-0,520208;-0,810568;;;;;;1774495
1774814;268;-1066;-1659;;130,784;-520,208;-809,592;;;;;1774,814;0,130784;-0,520208;-0,809592;;;;;;1774814
1775170;85;-1004;-1391;;41,48;-489,952;-678,808;;;;;1775,17;0,04148;-0,489952;-0,678808;;;;;;1775170
1775493;237;-1053;-1618;;115,656;-513,864;-789,584;;;;;1775,493;0,115656;-0,513864;-0,789584;;;;;;1775493
1775812;-12;-257;-1611;;-5,856;-125,416;-786,168;;;;;1775,812;-0,005856;-0,125416;-0,786168;;;;;;1775812
1776145;-26;-923;-1771;;-12,688;-450,424;-864,248;;;;;1776,145;-0,012688;-0,450424;-0,864248;;;;;;1776145
1776492;-30;-944;-1749;;-14,64;-460,672;-853,512;;;;;1776,492;-0,01464;-0,460672;-0,853512;;;;;;1776492
1776811;-38;-951;-1750;;-18,544;-464,088;-854;;;;;1776,811;-0,018544;-0,464088;-0,854;;;;;;1776811
1777047;-25;-955;-1742;;-12,2;-466,04;-850,096;;;;;1777,047;-0,0122;-0,46604;-0,850096;;;;;;1777047
1777494;-448;-1066;-1737;;-218,624;-520,208;-847,656;;;;;1777,494;-0,218624;-0,520208;-0,847656;;;;;;1777494
1777828;28;-547;-1912;;13,664;-266,936;-933,056;;;;;1777,828;0,013664;-0,266936;-0,933056;;;;;;1777828
1778146;112;-995;-1977;;54,656;-485,56;-964,776;;;;;1778,146;0,054656;-0,48556;-0,964776;;;;;;1778146
1778488;1109;-1563;-1962;;541,192;-762,744;-957,456;;;;;1778,488;0,541192;-0,762744;-0,957456;;;;;;1778488
1778716;279;-1399;-332;;136,152;-682,712;-162,016;;;;;1778,716;0,136152;-0,682712;-0,162016;;;;;;1778716
1779039;1117;-2057;737;;545,096;-1003,816;359,656;;;;;1779,039;0,545096;-1,003816;0,359656;;;;;;1779039
1779362;596;-1310;1205;;290,848;-639,28;588,04;;;;;1779,362;0,290848;-0,63928;0,58804;;;;;;1779362
1779613;-174;-858;2125;;-84,912;-418,704;1037;;;;;1779,613;-0,084912;-0,418704;1,037;;;;;;1779613
1779931;454;-1222;1479;;221,552;-596,336;721,752;;;;;1779,931;0,221552;-0,596336;0,721752;;;;;;1779931
1780477;150;-1135;1579;;73,2;-553,88;770,552;;;;;1780,477;0,0732;-0,55388;0,770552;;;;;;1780477
1780715;-365;-1416;1666;;-178,12;-691,008;813,008;;;;;1780,715;-0,17812;-0,691008;0,813008;;;;;;1780715
1781033;-427;-1509;1483;;-208,376;-736,392;723,704;;;;;1781,033;-0,208376;-0,736392;0,723704;;;;;;1781033
1781481;-498;-1330;1630;;-243,024;-649,04;795,44;;;;;1781,481;-0,243024;-0,64904;0,79544;;;;;;1781481
1781822;-532;-1307;1550;;-259,616;-637,816;756,4;;;;;1781,822;-0,259616;-0,637816;0,7564;;;;;;1781822
1782144;-1110;-1330;1236;;-541,68;-649,04;603,168;;;;;1782,144;-0,54168;-0,64904;0,603168;;;;;;1782144
1782479;-1082;-1169;1731;;-528,016;-570,472;844,728;;;;;1782,479;-0,528016;-0,570472;0,844728;;;;;;1782479
1782797;-1098;-1125;1294;;-535,824;-549;631,472;;;;;1782,797;-0,535824;-0,549;0,631472;;;;;;1782797
1783033;-582;-2418;1093;;-284,016;-1179,984;533,384;;;;;1783,033;-0,284016;-1,179984;0,533384;;;;;;1783033
1783367;-397;-1748;1154;;-193,736;-853,024;563,152;;;;;1783,367;-0,193736;-0,853024;0,563152;;;;;;1783367
1783686;-158;-1402;1427;;-77,104;-684,176;696,376;;;;;1783,686;-0,077104;-0,684176;0,696376;;;;;;1783686
1784156;-164;-1215;1308;;-80,032;-592,92;638,304;;;;;1784,156;-0,080032;-0,59292;0,638304;;;;;;1784156
1784475;-175;-1412;1494;;-85,4;-689,056;729,072;;;;;1784,475;-0,0854;-0,689056;0,729072;;;;;;1784475
1784797;-432;-1907;1380;;-210,816;-930,616;673,44;;;;;1784,797;-0,210816;-0,930616;0,67344;;;;;;1784797
1785025;-466;-1117;1490;;-227,408;-545,096;727,12;;;;;1785,025;-0,227408;-0,545096;0,72712;;;;;;1785025
1785368;-528;-1316;1346;;-257,664;-642,208;656,848;;;;;1785,368;-0,257664;-0,642208;0,656848;;;;;;1785368
1785686;-87;-1592;1437;;-42,456;-776,896;701,256;;;;;1785,686;-0,042456;-0,776896;0,701256;;;;;;1785686
1785914;485;-1542;1019;;236,68;-752,496;497,272;;;;;1785,914;0,23668;-0,752496;0,497272;;;;;;1785914
1786472;-4;-1789;1050;;-1,952;-873,032;512,4;;;;;1786,472;-0,001952;-0,873032;0,5124;;;;;;1786472
1786810;-360;-1622;989;;-175,68;-791,536;482,632;;;;;1786,81;-0,17568;-0,791536;0,482632;;;;;;1786810
1787037;-412;-2053;930;;-201,056;-1001,864;453,84;;;;;1787,037;-0,201056;-1,001864;0,45384;;;;;;1787037
1787484;-88;-1357;1357;;-42,944;-662,216;662,216;;;;;1787,484;-0,042944;-0,662216;0,662216;;;;;;1787484
1787712;-161;-1723;1211;;-78,568;-840,824;590,968;;;;;1787,712;-0,078568;-0,840824;0,590968;;;;;;1787712
1788034;69;-1887;1030;;33,672;-920,856;502,64;;;;;1788,034;0,033672;-0,920856;0,50264;;;;;;1788034
1788497;170;-1829;1013;;82,96;-892,552;494,344;;;;;1788,497;0,08296;-0,892552;0,494344;;;;;;1788497
1788815;208;-1902;1074;;101,504;-928,176;524,112;;;;;1788,815;0,101504;-0,928176;0,524112;;;;;;1788815
1789134;104;-1885;939;;50,752;-919,88;458,232;;;;;1789,134;0,050752;-0,91988;0,458232;;;;;;1789134
1789472;89;-1886;1043;;43,432;-920,368;508,984;;;;;1789,472;0,043432;-0,920368;0,508984;;;;;;1789472
1789711;-318;-2288;611;;-155,184;-1116,544;298,168;;;;;1789,711;-0,155184;-1,116544;0,298168;;;;;;1789711
1790029;19;-1946;990;;9,272;-949,648;483,12;;;;;1790,029;0,009272;-0,949648;0,48312;;;;;;1790029
1790469;-33;-1782;763;;-16,104;-869,616;372,344;;;;;1790,469;-0,016104;-0,869616;0,372344;;;;;;1790469
1790811;-892;-1793;1008;;-435,296;-874,984;491,904;;;;;1790,811;-0,435296;-0,874984;0,491904;;;;;;1790811
1791144;-1046;-1524;1106;;-510,448;-743,712;539,728;;;;;1791,144;-0,510448;-0,743712;0,539728;;;;;;1791144
1791468;-862;-1134;842;;-420,656;-553,392;410,896;;;;;1791,468;-0,420656;-0,553392;0,410896;;;;;;1791468
1791809;-949;-1377;1087;;-463,112;-671,976;530,456;;;;;1791,809;-0,463112;-0,671976;0,530456;;;;;;1791809
1792044;-1089;-1521;1105;;-531,432;-742,248;539,24;;;;;1792,044;-0,531432;-0,742248;0,53924;;;;;;1792044
1792367;-1067;-1438;1174;;-520,696;-701,744;572,912;;;;;1792,367;-0,520696;-0,701744;0,572912;;;;;;1792367
1792686;-996;-1431;1193;;-486,048;-698,328;582,184;;;;;1792,686;-0,486048;-0,698328;0,582184;;;;;;1792686
1792937;-1001;-1422;1210;;-488,488;-693,936;590,48;;;;;1792,937;-0,488488;-0,693936;0,59048;;;;;;1792937
1793468;-313;-1583;1266;;-152,744;-772,504;617,808;;;;;1793,468;-0,152744;-0,772504;0,617808;;;;;;1793468
1793802;-205;-1640;1183;;-100,04;-800,32;577,304;;;;;1793,802;-0,10004;-0,80032;0,577304;;;;;;1793802
1794037;-230;-1478;1097;;-112,24;-721,264;535,336;;;;;1794,037;-0,11224;-0,721264;0,535336;;;;;;1794037
1794357;45;-2084;908;;21,96;-1016,992;443,104;;;;;1794,357;0,02196;-1,016992;0,443104;;;;;;1794357
1794801;-44;-1678;1073;;-21,472;-818,864;523,624;;;;;1794,801;-0,021472;-0,818864;0,523624;;;;;;1794801
1795145;1;-1995;897;;0,488;-973,56;437,736;;;;;1795,145;0,000488;-0,97356;0,437736;;;;;;1795145
1795469;34;-1903;865;;16,592;-928,664;422,12;;;;;1795,469;0,016592;-0,928664;0,42212;;;;;;1795469
1795697;-64;-1783;1007;;-31,232;-870,104;491,416;;;;;1795,697;-0,031232;-0,870104;0,491416;;;;;;1795697
1796015;-130;-1909;908;;-63,44;-931,592;443,104;;;;;1796,015;-0,06344;-0,931592;0,443104;;;;;;1796015
1796478;-279;-1830;906;;-136,152;-893,04;442,128;;;;;1796,478;-0,136152;-0,89304;0,442128;;;;;;1796478
1796796;-85;-1726;1057;;-41,48;-842,288;515,816;;;;;1796,796;-0,04148;-0,842288;0,515816;;;;;;1796796
1797114;-432;-1668;1054;;-210,816;-813,984;514,352;;;;;1797,114;-0,210816;-0,813984;0,514352;;;;;;1797114
1797479;-284;-1778;1102;;-138,592;-867,664;537,776;;;;;1797,479;-0,138592;-0,867664;0,537776;;;;;;1797479
1797801;517;-2445;704;;252,296;-1193,16;343,552;;;;;1797,801;0,252296;-1,19316;0,343552;;;;;;1797801
1798118;-147;-2128;588;;-71,736;-1038,464;286,944;;;;;1798,118;-0,071736;-1,038464;0,286944;;;;;;1798118
1798477;-158;-1638;1260;;-77,104;-799,344;614,88;;;;;1798,477;-0,077104;-0,799344;0,61488;;;;;;1798477
1798796;-304;-2074;726;;-148,352;-1012,112;354,288;;;;;1798,796;-0,148352;-1,012112;0,354288;;;;;;1798796
1799346;-211;-1695;1156;;-102,968;-827,16;564,128;;;;;1799,346;-0,102968;-0,82716;0,564128;;;;;;1799346
1799581;250;-2714;804;;122;-1324,432;392,352;;;;;1799,581;0,122;-1,324432;0,392352;;;;;;1799581
1799904;14;-1877;701;;6,832;-915,976;342,088;;;;;1799,904;0,006832;-0,915976;0,342088;;;;;;1799904
1800132;-76;-1795;903;;-37,088;-875,96;440,664;;;;;1800,132;-0,037088;-0,87596;0,440664;;;;;;1800132
1800455;-276;-1912;204;;-134,688;-933,056;99,552;;;;;1800,455;-0,134688;-0,933056;0,099552;;;;;;1800455
1800796;-39;-1767;684;;-19,032;-862,296;333,792;;;;;1800,796;-0,019032;-0,862296;0,333792;;;;;;1800796
1801024;-413;-1838;598;;-201,544;-896,944;291,824;;;;;1801,024;-0,201544;-0,896944;0,291824;;;;;;1801024
1801449;-512;-1884;351;;-249,856;-919,392;171,288;;;;;1801,449;-0,249856;-0,919392;0,171288;;;;;;1801449
1801805;-560;-1963;546;;-273,28;-957,944;266,448;;;;;1801,805;-0,27328;-0,957944;0,266448;;;;;;1801805
1802123;-184;-1671;-57;;-89,792;-815,448;-27,816;;;;;1802,123;-0,089792;-0,815448;-0,027816;;;;;;1802123
1802453;-410;-1815;67;;-200,08;-885,72;32,696;;;;;1802,453;-0,20008;-0,88572;0,032696;;;;;;1802453
1802787;-249;-1942;391;;-121,512;-947,696;190,808;;;;;1802,787;-0,121512;-0,947696;0,190808;;;;;;1802787
1803040;-1069;-1897;308;;-521,672;-925,736;150,304;;;;;1803,04;-0,521672;-0,925736;0,150304;;;;;;1803040
