flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;1146;-567;-2085;748;-494;237;-892;-356;-304;-2231;23817
48;2;1462;-171;-1866;734;102;89;-359;-223;-320;-2247;30867
48;3;1777;-8;-1863;933;-369;20;-194;-199;-333;-2226;4121
48;4;2137;-236;-2069;714;-228;-166;351;-223;-368;-2154;20398
48;5;2453;-61;-1918;629;-303;98;-64;-247;-398;-2110;55456
48;6;2768;-322;-1916;397;-67;165;-51;-304;-416;-2053;32981
48;7;2994;-455;-2079;247;-41;76;4;-320;-425;-2015;15133
48;8;3433;-314;-2087;615;900;150;-200;-357;-367;-2111;2460
48;9;3770;-339;-1323;1237;271;51;455;-367;-207;-2282;26732
48;10;4085;-885;-1862;974;-122;-2;-161;-482;-176;-2247;37900
48;11;4421;-289;-1916;939;-368;-255;-439;-425;-284;-2241;1874
48;12;4751;-65;-1884;967;115;-313;-51;-274;-335;-2213;31433
48;13;5070;-692;-1698;1026;49;-168;2370;-334;-210;-2229;54739
48;14;5405;-1690;493;976;749;-477;2952;-669;607;-2354;43002
48;15;5631;-935;993;946;656;947;1416;-448;825;-2263;56171
48;16;5947;-1414;1622;624;-243;342;-142;-537;817;-2089;58769
48;17;6390;-1737;1338;293;-469;143;64;-726;756;-2009;65395
48;18;6620;-1448;1149;662;-532;-572;-115;-712;701;-2128;59013
48;19;6935;-1411;1240;759;-168;34;-147;-657;638;-2202;9313
48;20;7375;-1603;906;938;-286;-175;-453;-695;460;-2267;55620
48;21;7711;-1616;-781;684;-589;-115;-1590;-728;-102;-2126;52296
48;22;8026;-1303;-1084;1030;30;-432;-268;-470;-257;-2202;19786
48;23;8358;-1312;-1323;1107;-221;-343;-131;-368;-286;-2188;64561
48;24;8692;-1322;-1047;1019;-269;3;-61;-439;-274;-2180;47207
48;25;9244;-1848;-1089;1164;-22;0;-1;-568;-217;-2061;62271
48;26;9558;-1420;-1003;872;-145;-652;20;-594;-274;-2055;35795
