flag; num; time_ms; accl_x; accl_y; accl_z; gyro_x; gyro_y; gyro_z; mag_x; mag_y; mag_z; crc
48;1;966;-2066;-159;-16;15;-37;-3;-863;344;-1322;31781
48;2;1192;-2067;-154;-18;14;-36;-9;-864;335;-1308;7485
48;3;1508;-2066;-154;-17;27;-38;-54;-870;332;-1315;32714
48;4;1823;-2063;-159;-13;15;-36;26;-876;327;-1306;51070
48;5;2079;-2067;-167;-17;13;-39;-29;-874;332;-1316;27504
48;6;2500;-2063;-222;-14;19;-40;-166;-880;313;-1314;10804
48;7;2830;-2050;-216;-14;66;-17;-612;-877;284;-1326;44939
48;8;3060;-1974;-641;-24;21;-36;-82;-873;152;-1320;38293
48;9;3280;-1845;-942;-64;44;-3;-842;-848;62;-1314;41058
48;10;3594;-1682;-1298;18;399;-159;-1569;-809;-163;-1333;8562
48;11;3820;-1195;-1588;-29;183;-112;-851;-704;-274;-1306;7674
48;12;4155;-724;-1792;38;-32;-2;5;-528;-405;-1345;16707
48;13;4475;-738;-2032;17;-166;-39;-93;-507;-394;-1350;44619
48;14;4701;-808;-1879;-41;79;-112;157;-506;-397;-1321;37048
48;15;5015;-991;-1780;-146;-272;-112;1085;-531;-330;-1291;55742
48;16;5472;-1744;-1317;-214;-36;-212;410;-772;-15;-1303;59145
48;17;5791;-1852;-1026;-77;161;-59;-365;-841;26;-1340;41374
48;18;6109;-1770;-1027;-60;-46;-91;69;-855;67;-1345;54608
48;19;6462;-1832;-1020;-32;-118;-88;163;-855;71;-1359;40740
48;20;6777;-1866;-936;-54;-110;-78;94;-867;93;-1371;21357
48;21;7092;-1939;-939;24;93;-49;-109;-874;101;-1379;41269
48;22;7448;-1775;-1090;-7;-74;-75;81;-855;44;-1368;30005
48;23;7763;-1847;-1019;-7;-58;-139;204;-860;47;-1386;34196
48;24;8304;-1922;-849;-73;34;79;73;-890;176;-1392;35742
48;25;8537;-1864;-680;-5;-64;8;240;-884;187;-1394;42233
48;26;8860;-1969;-576;43;-206;-146;240;-901;232;-1409;17238
48;27;9086;-2024;-557;35;-34;-66;60;-897;259;-1428;19663
48;28;9402;-2000;-523;48;-13;-37;6;-899;286;-1417;37381
48;29;9737;-2048;-601;106;49;-54;-235;-904;287;-1414;64989
48;30;9962;-1989;-685;61;387;44;-440;-907;198;-1417;4445
48;31;10384;-1903;-795;90;9;-84;25;-885;170;-1412;10575
48;32;10734;-1937;-744;18;-29;-47;148;-882;187;-1410;25743
48;33;11048;-1955;-719;-5;13;-44;-47;-897;219;-1423;25360
48;34;11368;-1997;-678;73;-11;-29;32;-897;212;-1416;14592
48;35;11703;-1960;-626;-95;40;-46;-55;-901;218;-1421;23452
48;36;11934;-1791;-509;111;316;17;-335;-901;202;-1411;52670
48;37;12354;-1888;-971;88;381;144;-774;-890;118;-1413;41768
48;38;12580;-1436;-1615;150;827;255;-2278;-839;-275;-1434;61200
48;39;12918;-508;-2164;470;10;31;-589;-445;-476;-1442;46579
48;40;13234;-259;-2037;178;-242;-406;189;-373;-492;-1373;49530
48;41;13460;-780;-1969;-51;104;-576;104;-407;-477;-1429;49826
48;42;13778;-613;-1779;171;-568;-1357;296;-511;-421;-1530;38593
48;43;14349;-60;-2058;586;-176;-774;188;-397;-454;-1943;5967
48;44;14664;191;-1858;452;39;-114;-167;-292;-452;-1977;24933
48;45;14978;28;-1975;381;-231;255;-120;-241;-465;-1971;51120
48;46;15330;9;-2017;679;591;284;250;-232;-426;-2009;4570
48;47;15645;-135;-1625;1136;632;401;-312;-371;-347;-2093;56595
48;48;15975;-55;-1869;892;-707;806;-345;-322;-449;-1921;9010
48;49;16318;184;-1995;921;132;-128;104;-276;-453;-1969;56050
48;50;16633;177;-1889;847;285;-206;-35;-243;-417;-2043;16331
48;51;16963;162;-1655;1156;-27;-34;-75;-268;-402;-2072;1342
48;52;17306;161;-1762;1186;-26;179;-179;-263;-399;-2076;48307
48;53;17621;355;-1565;1293;242;-95;-86;-246;-376;-2132;51095
48;54;17847;413;-1560;1084;41;-312;-8;-214;-368;-2133;62591
48;55;18267;980;-1271;1278;-438;-242;109;3;-368;-2157;44427
48;56;18498;1172;-1553;1350;-229;-25;-187;74;-427;-2055;7696
48;57;18724;1024;-1962;947;-269;325;723;98;-438;-2027;59026
48;58;19148;996;-1616;948;237;-107;-229;-58;-483;-1999;40222
48;59;19604;1091;-1466;1139;-269;197;211;32;-415;-2129;54156
48;60;19922;641;-1550;964;-362;212;359;57;-440;-2107;9466
48;61;20238;834;-1613;1060;-6;-41;95;57;-486;-2031;36954
48;62;20464;830;-1587;1125;2;114;-293;64;-486;-2055;21304
48;63;20695;651;-1581;1032;84;86;-196;95;-499;-2043;50748
48;64;21119;769;-1567;1079;-101;49;250;110;-471;-2106;40261
48;65;21350;966;-1620;1108;487;85;217;81;-437;-2146;60610
48;66;21685;729;-1537;1172;-58;68;34;-9;-362;-2226;56845
48;67;22226;732;-1655;1317;400;-154;28;-30;-321;-2260;9389
48;68;22541;489;-1515;1910;1054;42;-42;-52;-187;-2362;9482
48;69;22879;31;-1252;1112;-554;-148;406;-184;-96;-2339;44423
48;70;23211;54;-1377;1443;-300;-157;-245;-170;-219;-2239;11986
48;71;23526;-24;-1886;1102;-470;405;85;-133;-359;-2111;7651
48;72;23876;-151;-2261;991;706;-203;-97;-247;-396;-2085;59274
48;73;24198;-173;-1631;1127;-379;160;-240;-293;-336;-2171;22081
